ctuid,pop2021,material_resources_score,material_resources_q,households_dwellings_q
5350528.12,5477,-0.36105655186333,3,1
5350528.13,3397,-0.6088148845025776,2,1
5350528.15,4194,0.06382820178382669,4,1
5350528.16,5079,-0.16521020512088797,3,1
5350528.18,6633,-0.2261457372133824,3,1
5350528.19,5068,-0.13580343880749038,3,2
5350528.20,5726,0.16331401750020688,4,1
5350528.21,4781,0.6411896027537595,4,4
5350528.22,6329,0.4410295680063338,4,2
5350528.24,4983,-0.20714330736349798,3,2
5350528.26,6807,0.3451492838750549,4,5
5350528.31,6442,0.40191212624712686,4,4
5350528.32,4088,-0.3882707542675294,2,1
5350528.33,6224,-0.4434197185912359,2,1
5350528.34,5810,-0.29541355057823127,3,2
5350528.35,3056,-0.2747844233770405,3,1
5350528.39,6827,-0.7252479037489493,1,1
5350528.40,6071,-0.5233074671834462,2,1
5350528.42,5315,-0.06880049645603695,3,1
5350528.43,4975,-0.3168040740848868,3,1
5350528.44,1887,-0.23905090672473792,3,1
5350528.45,5454,0.7468436778052525,5,3
5350528.46,6862,-0.3043977068703611,3,1
5350528.47,5044,0.11403309572107878,4,1
5350528.49,4740,-0.6466135381961768,2,1
5350528.50,3385,-0.2421689926578445,3,2
5350528.51,4420,0.20590313623572631,4,1
5350528.52,6489,-0.4646348684838166,2,1
5350528.53,2554,-0.7755962260361066,1,1
5350528.54,2935,-0.32868086923008416,3,1
5350528.55,4761,-0.1180771052012318,3,1
5350528.56,3455,0.07666889675517677,4,2
5350528.57,4104,0.003822879099198653,3,1
5350528.58,4073,-0.10642278567018457,3,1
5350528.59,4224,-0.1270700154888446,3,1
5350528.60,3626,-0.24895087270855784,3,3
5350528.61,4026,0.042245323855420056,4,4
5350528.62,1778,1.1972627190311567,5,3
5350528.63,5942,-0.22368267307631795,3,1
5350529.01,4097,0.4415646330519809,4,4
5350529.02,4675,0.9511497451812387,5,3
5350530.01,5217,1.926743655009043,5,3
5350530.02,3117,1.1013274036645795,5,4
5350531.01,4106,1.3492773785475343,5,4
5350531.02,6405,0.8080599020372565,5,2
5350532.01,4319,0.2931154881271248,4,3
5350532.02,4508,0.9521682964660874,5,3
5350540.01,4850,0.1434305866389381,4,5
5350540.02,5658,-0.3322438559299827,3,5
5350550.01,4672,-0.4716594045714354,2,2
5350550.02,7557,-0.15571214698754637,3,3
5350560.00,6482,0.6044512731894088,4,3
5350561.00,6821,0.4290079225046629,4,4
5350562.02,6521,-0.2120246614524982,3,2
5350562.03,5071,0.4332069968955703,4,3
5350562.04,4830,0.12053529665266685,4,2
5350562.05,5930,0.5541413240525808,4,4
5350562.06,3056,-0.2090127983708782,3,2
5350562.07,4600,0.3651831266308794,4,2
5350562.08,4201,0.37318797446648316,4,2
5350562.09,4023,0.24245547402916448,4,2
5350562.11,3110,-0.03338358475831457,3,2
5350562.12,7158,0.790632454703432,5,5
5350562.13,1192,0.5339817165397153,4,2
5350562.14,3889,-0.3303246463016952,3,1
5350562.15,3624,0.30309413935668744,4,1
5350563.01,6622,1.58023905073739,5,5
5350563.02,3396,0.09432929272780623,4,3
5350564.01,2351,0.33107088045791144,4,2
5350564.02,4893,0.848529097669572,5,2
5350570.01,4012,1.838557486687538,5,5
5350570.02,4200,-0.5741087043690593,2,2
5350571.01,3838,1.8042710224482714,5,4
5350571.02,4308,0.02549867614105844,4,3
5350572.01,7707,0.5725381192477644,4,4
5350572.04,3388,0.1706111698791058,4,3
5350572.05,6290,0.3656327800243785,4,5
5350572.07,4650,-0.007236712951795016,3,2
5350572.08,5661,0.2002668580484889,4,2
5350572.09,4674,-0.15437985098329482,3,1
5350572.10,3567,-0.09303697939031644,3,1
5350573.03,6410,0.346501232525204,4,3
5350573.05,5978,0.018513135196981747,4,2
5350573.06,4611,-0.1392886214082919,3,1
5350573.07,6129,0.4798057876192707,4,4
5350573.09,6086,0.060220550205546376,4,2
5350573.10,3168,-0.28246296635001844,3,1
5350573.11,4944,0.04245850041159935,4,1
5350574.00,6640,-0.051161658352330705,3,5
5350575.01,5985,0.7265101753187546,5,3
5350575.02,4910,1.2191764655125739,5,5
5350575.03,6598,0.5875254071560202,4,3
5350575.04,6562,0.31662216504838975,4,3
5350575.05,6956,0.15588307572626983,4,2
5350575.07,3967,-0.1836893408358311,3,1
5350575.08,5669,0.08499929219905199,4,2
5350576.04,4529,-0.5524463793094107,2,1
5350576.05,6834,-0.007508845371803292,3,1
5350576.06,8244,-0.15541835695905992,3,2
5350576.07,4495,-0.0708675112447155,3,1
5350576.09,3966,-0.5187205483516844,2,2
5350576.16,6366,0.08904931404433686,4,1
5350576.17,6724,0.11330478677386498,4,1
5350576.20,6606,0.24015650598610613,4,1
5350576.22,7297,0.10673190697564734,4,1
5350576.29,4160,-0.03357553028075617,3,1
5350576.31,3726,-0.550033950553459,2,1
5350576.33,2624,-0.31341604473167656,3,1
5350576.34,5987,-0.11130269799633535,3,1
5350576.43,6487,-0.12244952383171286,3,1
5350576.44,2727,-0.14954182341533376,3,1
5350576.45,2816,0.09268457273366243,4,1
5350576.46,5286,-0.13914283476552844,3,1
5350576.47,4274,-0.3705059855643353,3,1
5350576.49,5144,-0.023742413826909968,3,1
5350576.50,6726,-0.003905228684692199,3,1
5350576.52,5738,-0.015670291831165476,3,1
5350576.53,4365,-0.14924685383246838,3,1
5350576.54,5729,-0.04772009425174896,3,1
5350576.55,6734,0.05791297713650679,4,1
5350576.57,4141,-0.16031830984866388,3,2
5350576.59,6394,0.15023793289249632,4,1
5350576.62,6824,0.31881986530519374,4,1
5350576.63,6577,0.033388451583546266,4,1
5350576.65,3054,0.5026395256467578,4,1
5350576.66,6457,0.12628459329104577,4,1
5350576.68,4910,-0.14111599228562702,3,1
5350576.69,5710,-0.05460766514783382,3,1
5350576.73,2587,-0.3462215922291606,3,1
5350576.74,8511,-0.2077195403058499,3,1
5350576.75,6421,-0.07771705057775595,3,1
5350576.76,4803,-0.4412100164856036,2,1
5350576.77,5196,-0.35904571714353695,3,1
5350576.78,5212,0.05238715413150456,4,1
5350576.79,2684,0.05974251887610241,4,1
5350576.80,3248,-0.3877432388808655,2,1
5350576.81,4741,-0.1161686173844494,3,1
5350576.82,5296,0.21045309103636056,4,1
5350576.83,2549,0.3883150424078028,4,1
5350576.84,5595,-0.10056608107118249,3,1
5350576.85,6827,0.1470208375245845,4,1
5350576.86,4443,0.048903008256869926,4,1
5350576.87,4013,0.0036855324183800663,3,1
5350576.88,4353,0.2736020608936266,4,1
5350576.89,3694,0.22185559942064595,4,1
5350576.90,3930,-0.34379262226532614,3,2
5350576.91,12629,-0.7739306073727565,1,2
5350576.92,5764,-0.2063846763109961,3,3
5350576.93,8477,0.028503395740191406,4,1
5350576.94,4490,0.015637105752484365,4,1
5350576.95,4269,0.13065569973820637,4,1
5350576.96,7097,0.07456096386516174,4,1
5350576.97,4351,0.002222910451463861,3,1
5350576.98,29669,-0.4355292761930341,2,2
5350576.99,5773,-0.5601267516134032,2,2
5350577.00,9294,-0.43450282160156317,2,1
5350577.01,3270,-0.17516397684556828,3,1
5350577.02,5173,-0.25109599970215796,3,1
5350577.03,6193,-0.31626770520893105,3,1
5350577.04,6712,-0.7095308460490104,2,1
5350577.05,5208,-0.4599207043306936,2,1
5350577.06,5823,-0.5824862745550944,2,1
5350577.07,3726,0.12035404638836045,4,1
5350577.08,4532,-0.32749054987232606,3,1
5350577.09,3472,-0.643584509048091,2,2
5350585.02,6275,-0.3956476448817761,2,1
5350585.03,5493,-0.4604821027530777,2,2
5350585.05,6882,-0.719816967947494,1,1
5350585.07,7842,-0.63707205822629,2,1
5350585.08,4020,-0.894233723324149,1,1
5350585.09,5872,-0.4672662824031736,2,2
5350585.10,4628,-0.5220106134932706,2,2
5350586.02,3032,-0.34625662950102337,3,2
5350586.03,4674,-0.3949569316030942,2,2
5350586.04,6588,-0.41080566507782024,2,1
5350586.05,9563,-0.6487749679478803,2,1
5350587.01,6072,-0.8100631492419423,1,1
5350587.02,5640,-0.7164716175304585,1,2
